疫情地区,新增,现有,累计,治愈,死亡
西藏,9,443,1228,785,0
澳门,0,0,793,787,0
青海,0,27,233,206,0
台湾,49660,5780235,5804343,13742,37
香港,986,313672,402928,79426,10
贵州,5,34,229,193,0
吉林,0,35,40331,40291,0
新疆,2,14,1161,1144,0
宁夏,0,0,122,122,0
内蒙古,7,312,2731,2418,0
甘肃,0,3,1350,1345,0
天津,1,69,2270,2198,0
山西,0,10,469,459,0
辽宁,3,76,1879,1801,0
黑龙江,0,59,3228,3156,0
海南,0,955,8944,7983,0
河北,0,9,2027,2011,0
陕西,1,52,3715,3660,0
云南,8,44,2330,2284,0
广西,5,63,2317,2252,0
福建,6,117,4212,4094,0
上海,8,96,63966,63275,0
北京,4,138,4141,3994,0
江苏,2,14,2371,2357,0
四川,88,1546,5072,3523,0
山东,2,117,3066,2942,0
江西,1,14,1494,1479,0
重庆,2,15,1018,997,0
安徽,0,0,1506,1500,0
湖南,0,14,1447,1429,0
河南,0,28,3317,3267,0
广东,13,581,9729,9140,0
浙江,0,15,3394,3378,0
湖北,0,3,68427,63912,0
